,filament_ID,ydir,zdir,normal_angle,length,x_coords,y_coords,z_coords
0,1,23.82911136360654,12.970542395508819,151.86938593484692,44.553338819890925,[762 721],[309 327],[53 43]
1,2,-27.459246940917406,4.4076948048607765,176.56182316305288,117.10678887237921,[833 780 729],[302 276 248],[60 57 51]
2,3,5.697343651433747,-10.727489346540029,155.0288092068327,80.58535847162312,[914 877 850 834],[317 318 323 325],[37 42 44 52]
3,4,-65.39637565174877,0.7235453805012847,140.83089361723194,79.18964578781748,[870 859 847 837],[307 280 258 235],[45 43 44 44]
4,5,-17.659021987394933,10.356009932305192,152.06760571847417,89.00561780022652,[1203 1220 1243 1266 1288],[386 378 369 364 359],[76 74 63 61 60]
5,6,15.366921305198227,1.8223093633508658,174.6934254057127,94.33981132056604,[1251 1261 1275 1316 1342],[378 381 384 395 403],[61 61 61 58 58]
6,7,-31.200514603980633,-0.0,78.72146573038765,83.00602387778854,[1231 1212 1191 1160],[200 187 173 157],[53 54 55 53]
7,8,28.0460903897244,-1.6839565399867533,13.487588888648947,34.02939905434711,[1250 1236 1220],[203 211 219],[55 55 56]
8,17,-16.743406758079182,-6.4481909136803095,93.13168679142233,204.79990234372673,[772 809 838 889 914 947 968],[252 240 227 211 205 199 193],[58 63 67 62 68 76 81]
9,18,-46.25763981016835,20.54281836549157,43.07307204229889,48.4458460551573,[900 934],[202 167],[58 41]
10,19,-30.37122461474694,40.138739362885204,151.44464475392635,79.11384202527394,[849 832 820 812 798 789 780],[327 320 311 306 294 290 287],[81 71 61 54 41 35 30]
11,20,22.876346619336704,4.179963541159116,152.2745855757159,41.15823125451335,[800 784 762],[310 317 326],[52 51 49]
